expression,category,category_2,common,sg,pl,mass,finite,bare,pres,past,ing,en,3sg,arg_1,arg_2,arg_3,root,adjs,restrictor_DE,scope_DE,NPI,animate,occupation,clothing,appearance,thing,breakable,start_with_vowel,frontable,gender
worried,S\NP,IV_ag,,,,,0,0,0,0,0,1,0,animate=1,,,,,,,,,,,,,,,,
worry,S\NP,IV_ag,,,,,1,0,1,0,0,0,0,animate=1^sg=0,,,,,,,,,,,,,,,,
worries,S\NP,IV_ag,,,,,1,0,1,0,0,0,1,animate=1^sg=1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
want,(S\NP)/(S[to]\NP),V_control,,,,,1,0,1,0,0,0,0,animate=1^sg=0,bare=1,,,,,,,,,,,,,,,
wants,(S\NP)/(S[to]\NP),V_control,,,,,1,0,1,0,0,0,1,animate=1^sg=1,bare=1,,,,,,,,,,,,,,,
wanted,(S\NP)/(S[to]\NP),V_control,,,,,1,0,0,1,0,0,0,animate=1,bare=1,,,,,,,,,,,,,,,
want,(S\NP)/(S[to]\NP),V_control,,,,,0,1,0,0,0,0,0,animate=1,bare=1,,,,,,,,,,,,,,,
tried,(S\NP)/(S[to]\NP),V_control,,,,,1,0,0,1,0,0,0,animate=1,bare=1,,,,,,,,,,,,,,,
trying,(S\NP)/(S[to]\NP),V_control,,,,,0,0,0,0,1,0,0,animate=1,bare=1,,,,,,,,,,,,,,,
try,(S\NP)/(S[to]\NP),V_control,,,,,0,1,0,0,0,0,0,animate=1,bare=1,,,,,,,,,,,,,,,
tried,(S\NP)/(S[to]\NP),V_control,,,,,0,0,0,0,0,1,0,animate=1,bare=1,,,,,,,,,,,,,,,
might,(S\NP)/(S[bare]\NP),modal,,,,,,,1,,,,,,bare=1,,,,,,,,,,,,,,0,
would,(S\NP)/(S[bare]\NP),modal,,,,,,,0,,,,,,bare=1,,,,,,,,,,,,,,0,
could,(S\NP)/(S[bare]\NP),modal,,,,,,,0,,,,,,bare=1,,,,,,,,,,,,,,0,
should,(S\NP)/(S[bare]\NP),modal,,,,,,,1,,,,,,bare=1,,,,,,,,,,,,,,1,
will,(S\NP)/(S[bare]\NP),modal,,,,,,,1,,,,,,bare=1,,,,,,,,,,,,,,1,
can,(S\NP)/(S[bare]\NP),modal,,,,,,,1,,,,,,bare=1,,,,,,,,,,,,,,1,
do,(S\NP)/(S[bare]\NP),aux,,,,,1,0,1,0,0,0,0,sg=0,bare=1,,,,,,,,,,,,,,1,
does,(S\NP)/(S[bare]\NP),aux,,,,,1,0,1,0,0,0,1,sg=1,bare=1,,,,,,,,,,,,,,1,
did,(S\NP)/(S[bare]\NP),aux,,,,,1,0,0,1,0,0,0,,bare=1,,,,,,,,,,,,,,1,
is,(S\NP)/(S[bare]\NP),aux,,,,,1,0,1,0,0,0,1,sg=1,ing=1,,,,,,,,,,,,,,1,
are,(S\NP)/(S[bare]\NP),aux,,,,,1,0,1,0,0,0,1,pl=1,ing=1,,,,,,,,,,,,,,1,
was,(S\NP)/(S[bare]\NP),aux,,,,,1,0,0,1,0,0,0,sg=1,ing=1,,,,,,,,,,,,,,1,
were,(S\NP)/(S[bare]\NP),aux,,,,,1,0,0,1,0,0,0,pl=1,ing=1,,,,,,,,,,,,,,1,
has,(S\NP)/(S[bare]\NP),aux,,,,,1,0,1,0,0,0,1,sg=1,en=1,,,,,,,,,,,,,,1,
have,(S\NP)/(S[bare]\NP),aux,,,,,1,0,1,0,0,0,1,pl=1,en=1,,,,,,,,,,,,,,1,
had,(S\NP)/(S[bare]\NP),aux,,,,,1,0,0,1,0,0,0,,en=1,,,,,,,,,,,,,,1,
,(S\NP)/(S[bare]\NP),aux,,,,,1,0,0,0,0,0,0,,finite=1,,,,,,,,,,,,,,0,
cup,N,N,,1,0,0,,,,,,,,,,,,,,,,0,,,,1,1,0,,
plate,N,N,,1,0,0,,,,,,,,,,,,,,,,0,,,,1,1,0,,
fork,N,N,,1,0,0,,,,,,,,,,,,,,,,0,,,,1,1,0,,
glass,N,N,,1,0,0,,,,,,,,,,,,,,,,0,,,,1,1,0,,
dish,N,N,,1,0,0,,,,,,,,,,,,,,,,0,,,,1,1,0,,
book,N,N,,1,0,0,,,,,,,,,,,,,,,,0,,,,1,1,0,,
chair,N,N,,1,0,0,,,,,,,,,,,,,,,,0,,,,1,1,0,,
couch,N,N,,1,0,0,,,,,,,,,,,,,,,,0,,,,1,1,0,,
rug,N,N,,1,0,0,,,,,,,,,,,,,,,,0,,,,1,0,0,,
car,N,N,,1,0,0,,,,,,,,,,,,,,,,0,,,,1,1,0,,
cups,N,N,,0,1,0,,,,,,,,,,,,,,,,0,,,,1,1,0,,
plates,N,N,,0,1,0,,,,,,,,,,,,,,,,0,,,,1,1,0,,
forks,N,N,,0,1,0,,,,,,,,,,,,,,,,0,,,,1,1,0,,
glasses,N,N,,0,1,0,,,,,,,,,,,,,,,,0,,,,1,1,0,,
dishes,N,N,,0,1,0,,,,,,,,,,,,,,,,0,,,,1,1,0,,
books,N,N,,0,1,0,,,,,,,,,,,,,,,,0,,,,1,1,0,,
chairs,N,N,,0,1,0,,,,,,,,,,,,,,,,0,,,,1,1,0,,
couches,N,N,,0,1,0,,,,,,,,,,,,,,,,0,,,,1,1,0,,
