drain,S\NP,Source,,
emanate,S\NP,Source,,
empty,S\NP,Source,,
leak,S\NP,Source,,
pour,S\NP,Source,,
shed,S\NP,Source,,
spill,S\NP,Source,,
affect,S\NP,Stimulus,,
afflict,S\NP,Stimulus,,
aggravate,S\NP,Stimulus,,
amaze,S\NP,Stimulus,,
appeal,S\NP,Stimulus,,
appease,S\NP,Stimulus,,
arouse,S\NP,Stimulus,,
bother,S\NP,Stimulus,,
calm,S\NP,Stimulus,,
cheer,S\NP,Stimulus,,
concern,S\NP,Stimulus,,
confuse,S\NP,Stimulus,,
convince,S\NP,Stimulus,,
count,S\NP,Stimulus,,
count,S\NP,Stimulus,,
crush,S\NP,Stimulus,,
cut,S\NP,Stimulus,,
daunt,S\NP,Stimulus,,
delight,S\NP,Stimulus,,
demolish,S\NP,Stimulus,,
depress,S\NP,Stimulus,,
devastate,S\NP,Stimulus,,
disappoint,S\NP,Stimulus,,
disarm,S\NP,Stimulus,,
disturb,S\NP,Stimulus,,
divert,S\NP,Stimulus,,
embarrass,S\NP,Stimulus,,
encourage,S\NP,Stimulus,,
engage,S\NP,Stimulus,,
entertain,S\NP,Stimulus,,
excite,S\NP,Stimulus,,
exhaust,S\NP,Stimulus,,
fascinate,S\NP,Stimulus,,
fatigue,S\NP,Stimulus,,
frighten,S\NP,Stimulus,,
harass,S\NP,Stimulus,,
harm,S\NP,Stimulus,,
haunt,S\NP,Stimulus,,
humiliate,S\NP,Stimulus,,
hurt,S\NP,Stimulus,,
impair,S\NP,Stimulus,,
impress,S\NP,Stimulus,,
infuriate,S\NP,Stimulus,,
inspire,S\NP,Stimulus,,
interest,S\NP,Stimulus,,
intimidate,S\NP,Stimulus,,
irritate,S\NP,Stimulus,,
kill,S\NP,Stimulus,,
matter,S\NP,Stimulus,,
matter,S\NP,Stimulus,,
move,S\NP,Stimulus,,
obsess,S\NP,Stimulus,,
occupy,S\NP,Stimulus,,
offend,S\NP,Stimulus,,
outrage,S\NP,Stimulus,,
overwhelm,S\NP,Stimulus,,
plague,S\NP,Stimulus,,
please,S\NP,Stimulus,,
reassure,S\NP,Stimulus,,
relax,S\NP,Stimulus,,
relieve,S\NP,Stimulus,,
repel,S\NP,Stimulus,,
revitalize,S\NP,Stimulus,,
satisfy,S\NP,Stimulus,,
scare,S\NP,Stimulus,,
shake,S\NP,Stimulus,,
shock,S\NP,Stimulus,,
soothe,S\NP,Stimulus,,
stimulate,S\NP,Stimulus,,
stir,S\NP,Stimulus,,
strike,S\NP,Stimulus,,
surprise,S\NP,Stimulus,,
