model,filtered,trigger_type,condition,control,trigger_condition,presupposition_condition,accuracy,entailment,neutral,contradiction,n_examples
BERT,False,cleft_uniqueness,test_interrogative_positive,False,interrogative,positive,0,0,0.78,0.22,100
BERT,False,cleft_uniqueness,test_interrogative_negated,False,interrogative,negated,0,0.97,0.03,0,100
BERT,False,cleft_uniqueness,test_interrogative_neutral,False,interrogative,neutral,0.16,0,0.16,0.84,100
BERT,False,cleft_uniqueness,test_modal_positive,False,modal,positive,0,0,0.92,0.08,100
BERT,False,cleft_uniqueness,test_modal_negated,False,modal,negated,0,1,0,0,100
BERT,False,cleft_uniqueness,test_modal_neutral,False,modal,neutral,0.23,0,0.23,0.77,100
BERT,False,cleft_uniqueness,test_conditional_positive,False,conditional,positive,0,0,0.96,0.04,100
BERT,False,cleft_uniqueness,test_conditional_negated,False,conditional,negated,0,1,0,0,100
BERT,False,cleft_uniqueness,test_conditional_neutral,False,conditional,neutral,0.36,0,0.36,0.64,100
BERT,False,cleft_uniqueness,control_negated,True,negated,,1,0,0,1,100
BERT,False,cleft_uniqueness,control_modal,True,modal,,0.98,0.02,0.98,0,100
BERT,False,cleft_uniqueness,control_interrogative,True,interrogative,,1,0,1,0,100
BERT,False,cleft_uniqueness,control_conditional,True,conditional,,0.81,0.19,0.81,0,100
BERT,True,cleft_uniqueness,test_unembedded_positive,False,unembedded,positive,1,1,0,0,4
BERT,True,cleft_uniqueness,test_unembedded_negated,False,unembedded,negated,0,1,0,0,4
BERT,True,cleft_uniqueness,test_unembedded_neutral,False,unembedded,neutral,0.5,0,0.5,0.5,4
BERT,True,cleft_uniqueness,test_negated_positive,False,negated,positive,0,0,0,1,4
BERT,True,cleft_uniqueness,test_negated_negated,False,negated,negated,0,1,0,0,4
BERT,True,cleft_uniqueness,test_negated_neutral,False,negated,neutral,0,0,0,1,4
BERT,True,cleft_uniqueness,test_interrogative_positive,False,interrogative,positive,0,0,1,0,4
BERT,True,cleft_uniqueness,test_interrogative_negated,False,interrogative,negated,0,1,0,0,4
BERT,True,cleft_uniqueness,test_interrogative_neutral,False,interrogative,neutral,0.5,0,0.5,0.5,4
BERT,True,cleft_uniqueness,test_modal_positive,False,modal,positive,0,0,1,0,4
BERT,True,cleft_uniqueness,test_modal_negated,False,modal,negated,0,1,0,0,4
BERT,True,cleft_uniqueness,test_modal_neutral,False,modal,neutral,0.5,0,0.5,0.5,4
BERT,True,cleft_uniqueness,test_conditional_positive,False,conditional,positive,0,0,1,0,2
BERT,True,cleft_uniqueness,test_conditional_negated,False,conditional,negated,0,1,0,0,2
BERT,True,cleft_uniqueness,test_conditional_neutral,False,conditional,neutral,0.5,0,0.5,0.5,2
BERT,True,cleft_uniqueness,control_negated,True,negated,,0,0,0,0,0
BERT,True,cleft_uniqueness,control_modal,True,modal,,0,0,0,0,0
BERT,True,cleft_uniqueness,control_interrogative,True,interrogative,,0,0,0,0,0
BERT,True,cleft_uniqueness,control_conditional,True,conditional,,0,0,0,0,0
BERT,False,only_presupposition,test_unembedded_positive,False,unembedded,positive,1,1,0,0,100
BERT,False,only_presupposition,test_unembedded_negated,False,unembedded,negated,1,0,0,1,100
BERT,False,only_presupposition,test_unembedded_neutral,False,unembedded,neutral,0.07,0.07,0.07,0.86,100
BERT,False,only_presupposition,test_negated_positive,False,negated,positive,0.95,0.95,0.01,0.04,100
BERT,False,only_presupposition,test_negated_negated,False,negated,negated,0.97,0.03,0,0.97,100
BERT,False,only_presupposition,test_negated_neutral,False,negated,neutral,0.26,0.13,0.26,0.61,100
BERT,False,only_presupposition,test_interrogative_positive,False,interrogative,positive,0.58,0.58,0.42,0,100
BERT,False,only_presupposition,test_interrogative_negated,False,interrogative,negated,1,0,0,1,100
BERT,False,only_presupposition,test_interrogative_neutral,False,interrogative,neutral,0.17,0.02,0.17,0.81,100
BERT,False,only_presupposition,test_modal_positive,False,modal,positive,0.47,0.47,0.47,0.06,100
BERT,False,only_presupposition,test_modal_negated,False,modal,negated,0.99,0,0.01,0.99,100
BERT,False,only_presupposition,test_modal_neutral,False,modal,neutral,0.19,0.05,0.19,0.76,100
BERT,False,only_presupposition,test_conditional_positive,False,conditional,positive,0.93,0.93,0.07,0,100
BERT,False,only_presupposition,test_conditional_negated,False,conditional,negated,0.94,0.05,0.01,0.94,100
BERT,False,only_presupposition,test_conditional_neutral,False,conditional,neutral,0.16,0.07,0.16,0.77,100
BERT,False,only_presupposition,control_negated,True,negated,,1,0,0,1,100
BERT,False,only_presupposition,control_modal,True,modal,,0.8,0.15,0.8,0.05,100
BERT,False,only_presupposition,control_interrogative,True,interrogative,,0.92,0.07,0.92,0.01,100
BERT,False,only_presupposition,control_conditional,True,conditional,,0.19,0.81,0.19,0,100
BERT,True,only_presupposition,test_unembedded_positive,False,unembedded,positive,1,1,0,0,100
BERT,True,only_presupposition,test_unembedded_negated,False,unembedded,negated,1,0,0,1,100
BERT,True,only_presupposition,test_unembedded_neutral,False,unembedded,neutral,0.07,0.07,0.07,0.86,100
BERT,True,only_presupposition,test_negated_positive,False,negated,positive,0.95,0.95,0.01,0.04,100
BERT,True,only_presupposition,test_negated_negated,False,negated,negated,0.97,0.03,0,0.97,100
BERT,True,only_presupposition,test_negated_neutral,False,negated,neutral,0.26,0.13,0.26,0.61,100
BERT,True,only_presupposition,test_interrogative_positive,False,interrogative,positive,0.5543478260869565,0.5543478260869565,0.44565217391304346,0,92
BERT,True,only_presupposition,test_interrogative_negated,False,interrogative,negated,1,0,0,1,92
BERT,True,only_presupposition,test_interrogative_neutral,False,interrogative,neutral,0.17391304347826086,0.021739130434782608,0.17391304347826086,0.8043478260869565,92
BERT,True,only_presupposition,test_modal_positive,False,modal,positive,0.425,0.425,0.5125,0.0625,80
BERT,True,only_presupposition,test_modal_negated,False,modal,negated,0.9875,0,0.0125,0.9875,80
BERT,True,only_presupposition,test_modal_neutral,False,modal,neutral,0.2,0.025,0.2,0.775,80
BERT,True,only_presupposition,test_conditional_positive,False,conditional,positive,0.7894736842105263,0.7894736842105263,0.21052631578947367,0,19
BERT,True,only_presupposition,test_conditional_negated,False,conditional,negated,0.8947368421052632,0.10526315789473684,0,0.8947368421052632,19
BERT,True,only_presupposition,test_conditional_neutral,False,conditional,neutral,0.21052631578947367,0,0.21052631578947367,0.7894736842105263,19
BERT,True,only_presupposition,control_negated,True,negated,,0,0,0,0,0
BERT,True,only_presupposition,control_modal,True,modal,,0,0,0,0,0
BERT,True,only_presupposition,control_interrogative,True,interrogative,,0,0,0,0,0
BERT,True,only_presupposition,control_conditional,True,conditional,,0,0,0,0,0
BERT,False,possessed_definites_existence,test_unembedded_positive,False,unembedded,positive,1,1,0,0,100
BERT,False,possessed_definites_existence,test_unembedded_negated,False,unembedded,negated,1,0,0,1,100
BERT,False,possessed_definites_existence,test_unembedded_neutral,False,unembedded,neutral,0.07,0.35,0.07,0.58,100
BERT,False,possessed_definites_existence,test_negated_positive,False,negated,positive,0.97,0.97,0,0.03,100
BERT,False,possessed_definites_existence,test_negated_negated,False,negated,negated,0.95,0.05,0,0.95,100
BERT,False,possessed_definites_existence,test_negated_neutral,False,negated,neutral,0.06,0.34,0.06,0.6,100
BERT,False,possessed_definites_existence,test_interrogative_positive,False,interrogative,positive,1,1,0,0,100
BERT,False,possessed_definites_existence,test_interrogative_negated,False,interrogative,negated,1,0,0,1,100
BERT,False,possessed_definites_existence,test_interrogative_neutral,False,interrogative,neutral,0.08,0.31,0.08,0.61,100
BERT,False,possessed_definites_existence,test_modal_positive,False,modal,positive,1,1,0,0,100
BERT,False,possessed_definites_existence,test_modal_negated,False,modal,negated,1,0,0,1,100
BERT,False,possessed_definites_existence,test_modal_neutral,False,modal,neutral,0.06,0.32,0.06,0.62,100
BERT,False,possessed_definites_existence,test_conditional_positive,False,conditional,positive,1,1,0,0,100
BERT,False,possessed_definites_existence,test_conditional_negated,False,conditional,negated,1,0,0,1,100
BERT,False,possessed_definites_existence,test_conditional_neutral,False,conditional,neutral,0.07,0.4,0.07,0.53,100
BERT,False,possessed_definites_existence,control_negated,True,negated,,1,0,0,1,100
BERT,False,possessed_definites_existence,control_modal,True,modal,,0.98,0,0.98,0.02,100
BERT,False,possessed_definites_existence,control_interrogative,True,interrogative,,1,0,1,0,100
BERT,False,possessed_definites_existence,control_conditional,True,conditional,,1,0,1,0,100
BERT,True,possessed_definites_existence,test_unembedded_positive,False,unembedded,positive,1,1,0,0,100
BERT,True,possessed_definites_existence,test_unembedded_negated,False,unembedded,negated,1,0,0,1,100
BERT,True,possessed_definites_existence,test_unembedded_neutral,False,unembedded,neutral,0.07,0.35,0.07,0.58,100
BERT,True,possessed_definites_existence,test_negated_positive,False,negated,positive,0.97,0.97,0,0.03,100
BERT,True,possessed_definites_existence,test_negated_negated,False,negated,negated,0.95,0.05,0,0.95,100
BERT,True,possessed_definites_existence,test_negated_neutral,False,negated,neutral,0.06,0.34,0.06,0.6,100
BERT,True,possessed_definites_existence,test_interrogative_positive,False,interrogative,positive,1,1,0,0,100
BERT,True,possessed_definites_existence,test_interrogative_negated,False,interrogative,negated,1,0,0,1,100
BERT,True,possessed_definites_existence,test_interrogative_neutral,False,interrogative,neutral,0.08,0.31,0.08,0.61,100
BERT,True,possessed_definites_existence,test_modal_positive,False,modal,positive,1,1,0,0,98
BERT,True,possessed_definites_existence,test_modal_negated,False,modal,negated,1,0,0,1,98
BERT,True,possessed_definites_existence,test_modal_neutral,False,modal,neutral,0.061224489795918366,0.30612244897959184,0.061224489795918366,0.6326530612244898,98
BERT,True,possessed_definites_existence,test_conditional_positive,False,conditional,positive,1,1,0,0,100
BERT,True,possessed_definites_existence,test_conditional_negated,False,conditional,negated,1,0,0,1,100
BERT,True,possessed_definites_existence,test_conditional_neutral,False,conditional,neutral,0.07,0.4,0.07,0.53,100
BERT,True,possessed_definites_existence,control_negated,True,negated,,0,0,0,0,0
BERT,True,possessed_definites_existence,control_modal,True,modal,,0,0,0,0,0
BERT,True,possessed_definites_existence,control_interrogative,True,interrogative,,0,0,0,0,0
BERT,True,possessed_definites_existence,control_conditional,True,conditional,,0,0,0,0,0
BERT,False,possessed_definites_uniqueness,test_unembedded_positive,False,unembedded,positive,0,0,0.97,0.03,100
BERT,False,possessed_definites_uniqueness,test_unembedded_negated,False,unembedded,negated,0.25,0.18,0.57,0.25,100
BERT,False,possessed_definites_uniqueness,test_unembedded_neutral,False,unembedded,neutral,0.66,0,0.66,0.34,100
BERT,False,possessed_definites_uniqueness,test_negated_positive,False,negated,positive,0,0,0.95,0.05,100
BERT,False,possessed_definites_uniqueness,test_negated_negated,False,negated,negated,0.22,0.26,0.52,0.22,100
BERT,False,possessed_definites_uniqueness,test_negated_neutral,False,negated,neutral,0.7,0,0.7,0.3,100
BERT,False,possessed_definites_uniqueness,test_interrogative_positive,False,interrogative,positive,0,0,0.99,0.01,100
